created,text,retwc,hashtag,followers,friends
10-09-2021 20:22,"b'This week\xe2\x80\x99s most intriguing funding comes from @amazon founder Jeff Bezos, who participated in a $270 million round\xe2\x80\xa6 https://t.co/fULa8QW20Q'",0,None,6676,633
10-09-2021 20:05,"b""Byju's is raising $400 million to $600 million in funding, with an IPO planned for next year.\nInsider Advantage Geo\xe2\x80\xa6 https://t.co/OyIO5K36GR""",0,None,29,0
10-09-2021 20:00,"b""BYJU's Learning App and Magic Workbooks - https://t.co/Znw3RcnWq9""",0,None,15735,496
10-09-2021 20:00,b'RT @TechREDEF: From India With Love: Unconventional Approach Spells Success For BYJU\xe2\x80\x99S U.S. Market Strategy (@DrRodBerger - @forbes) https:\xe2\x80\xa6',1,None,15694,10158
10-09-2021 19:36,"b""Byjus will be the main sponsor of  KBFC.Where new sponsors can also be expected.\n\nNishu Kumar's is a unique situati\xe2\x80\xa6 https://t.co/LEF9vvqwit""",0,None,186,100
10-09-2021 19:30,b'From India With Love: Unconventional Approach Spells Success For BYJU\xe2\x80\x99S U.S. Market Strategy (@DrRodBerger -\xe2\x80\xa6 https://t.co/H0xhWQwiz0',1,None,1853,164
10-09-2021 19:27,b'Byju\xe2\x80\x99s to accelerate IPO plans as India tech booms \xe2\x80\x93 Times of India | IPO\nByju\xe2\x80\x99s to accelerate IPO plans as India t\xe2\x80\xa6 https://t.co/ykIVzRW8Vr',0,None,1364,698
10-09-2021 19:18,b'From India With Love: Unconventional Approach Spells Success For BYJU\xe2\x80\x99S U.S. Market Strategy (@DrRodBerger -\xe2\x80\xa6 https://t.co/L56uHNWCaT',0,None,21973,2016
10-09-2021 19:00,"b""https://t.co/TUls7G4k1W\nBYJU's Learning App and Magic Workbooks""",0,None,26679,691
10-09-2021 19:00,"b'On olx,\n\nI renamed my old kindle as ""ed-tech""\n\nByjus bought it!'",0,None,6,60
10-09-2021 18:37,b'@BYJUS is this true? Kindly sort out this matter. https://t.co/wMrDgwXKSO',0,None,1,179
10-09-2021 18:22,b'Byjus is nothing but a B2C product which considers C as another B. #byjus',0,byjus,1034,154
10-09-2021 18:21,b'Exclusive: Sequoia India makes $200 million cash exit from Vini Cosmetics sale to KKR\n\nhttps://t.co/B1cpSjMviL\n\n #bYJUs   #onlineLearning',0,bYJUs,0,3
10-09-2021 18:10,"b'With data, AI/ML, and expert recruiters, this B2B HR tech startup helps organisations hire the right techies\xe2\x80\xa6 https://t.co/0AnCgAFGLC'",0,None,99,728
10-09-2021 18:09,b'RT @Winter_Souljour: Byjus scam \xf0\x9f\x99\x84 https://t.co/ku8jPRzBt9',57,None,4113,145
10-09-2021 18:07,"b""Austrian startup GoStudent becomes Europe's first edtech unicorn\n\nhttps://t.co/BXInb4cgWD\n\n #BYjus #EdTech""",0,BYjus,3,14
10-09-2021 18:04,"b'BizWire Express &gt; - Education Technology Market Size (Value and Volume), Future Potential Of Industry 2030\xe2\x80\xa6 https://t.co/9rYeDk3kzQ'",0,None,205,795
10-09-2021 17:54,"b""Editor's take: The week that was \xe2\x80\x94 June 14-19\n\nhttps://t.co/djbHNHnjuN\n\n #bYjus #EdTech""",0,bYjus,99,728
10-09-2021 17:47,b'Profile building platform: Marks don\xe2\x80\x99t matter for a dream job but your \xe2\x80\x98profile\xe2\x80\x99 does - The Financial Express\xe2\x80\xa6 https://t.co/s0WmDo9HaA',0,None,5,25
10-09-2021 17:44,b'RT @Winter_Souljour: Byjus scam \xf0\x9f\x99\x84 https://t.co/ku8jPRzBt9',57,None,68,498
10-09-2021 17:41,b'Paytm IPO: Paytm aims to raise $1.6 billion through fresh issue in IPO - The Economic Times\xe2\x80\xa6 https://t.co/39YZ3k8lzL',0,None,7,19
10-09-2021 17:41,"b'@zonnexion_ no we have the byjus tab and if she finds out it stopped working she\'ll be pissed cuz ""she paid for it\xe2\x80\xa6 https://t.co/OCtapqZDI0'",0,None,102,83
