title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Online learning- advantages and disadvantages || English || Online education essay,Z7wkIzqAj4U,199183,3737,209,225,0
My experience of virtual classes  online schooling n learning,weHKnLof3q8,149,18,0,0,0
Online education vs Offline education Full Comparison in Hindi | Online classes vs Offline classes,uPnZdO80Vgg,163737,7015,308,1644,0
ABC SONG Nursery Rhyme Learning Alphabets for Children,f4oTdkHGah8,36256607,69044,38486,0,0
Preschool Learning Videos - Preschool for Littles - Online Virtual Preschool Video - Learn at Home,2vYqjQnm3WY,2934990,7043,1938,0,0
Online Education Advantages and disadvantages essay or speech on Online classes | Smile please world,yyweaog096k,91622,1851,99,0,0
Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Simplilearn,ukzFI9rgwfU,2095037,30852,1010,1999,0
2017 Big Data Coruna. Online Learning for Data Streams,UhNSggyBrmA,236,3,0,0,0
Quality Online Course Series: Course Activities &amp; Student Engagement,yvaZHMhQtb0,191,2,0,3,0
Advantages and Disadvantages of Online Classes/Pros and Cons of Online Learning/#onlineclasses,dw313WgfseA,3418,40,9,2,0
TuTiTu Language Learning | English to French - L&#39;anglais au francais,T6qOmTBrO3U,1270655,2813,741,69,0
Promoting Meaningful Participation in Online Learning Environments:,WCwz1PZyINg,37,0,0,0,0
Online education V/s offline education,9N6kRaKr8M8,42315,956,77,71,0
Phonics | The Letter N | Phonics Sounds,gN-FfjHTqC4,11186,119,11,16,0
"Learn Chinese for Kids - Numbers, Colors &amp; More - Rock &#39;N Learn",Pjyc5GCNzwk,2821721,18765,2137,136,0
E-learning | elearning  kyaa hai ? | Online education kyaa hotii hai ? | ii - lrniNg kii puurii jaankaarii |,O3fMiRcEurM,4641,123,4,12,0
how to make money online by watching ads make money online by taking surveys,jvnqud1XmNI,405389,17096,1236,3670,0
How to Create Your Own Data Science Curriculum with Coursera in 2021,r2imindSw14,24620,720,11,68,0
ttestt kii taiyaarii Online vs regular classes | Online vs offline coaching | Online study good or bad,_r7edGpVSQ4,3281,161,12,74,0
"Learn English for Kids - Food, Activities &amp; Animals - Rock &#39;N Learn",0kH43b6pNAw,2839384,6419,3203,9,0
"Learn Italian for Kids - Numbers, Colors &amp; More",2tOUkJR_EyE,1929235,19604,1639,144,0
Doctor Drill N Fill Playset &amp; Learning Colors Activity Using Play-Doh!,fouLQi53oVI,48954231,92710,37509,255,0
BEST TOYS FOR 1 to 2 Years of Age | Budget,0s_O3HnFoy4,601096,6462,529,186,0
Learn Good Manners For Kids | Learn How To Be Kind | Good Manners For Children | Good Habits,axitOq-rtwA,5235105,12234,3166,186,0
"Learn French for Kids | Body Parts, Family &amp; Feelings",UqEKm8Y5wCk,1272368,8434,1180,153,0
"Learn Italian for Kids - Food, Activities &amp; Animals",C5-MM082zVw,700977,4644,628,41,0
"Learn English for Kids - Numbers, Colors &amp; More",ql9-75jhQxE,3483790,8164,2436,21,0
Reading CVC Words and Simple Phrases,ii18uH36ySU,543655,1903,449,4,0
"Baby's First Words - Colors, Clothes, Toys &amp; More | When will my toddler speak?",TlOGtIq-7_c,5981161,8520,3691,43,0
Make Money On Google || Online Earning In Pakistan without investment in 2021,m_TTcnRPHKA,94797,4735,298,1020,0
"Learn English for Kids - Body Parts, Family &amp; Feelings - Rock &#39;N Learn",hFIGwwE1uAM,25767003,80333,34149,146,0
"Learn French for Kids - Food, Activities &amp; Animals - Rock &#39;N Learn",CN6ttL6MhQY,1664332,8012,1417,42,0
"Learn French for Kids - Numbers, Colors &amp; More - Rock &#39;N Learn",uyHIcOX4FaE,5689187,38082,3912,376,0
Make Money Online on Youtube Without making Video with camera in 2020 || without affiliate marketing,WsBdkki5h10,614830,30391,1200,4772,0
Learn to Read | One Syllable Words | Red Level,VxBEmaaSh1c,23365278,90379,21114,58,0
Online English Speaking n Learning Course Part 23,nv1zzfSFefA,3,0,0,0,0
"25  WEB BASED LEARNING,  E LEARNING  &amp;  U LEARNING",6tqikcC7NaE,1238,17,0,3,0
How to triple your memory by using this trick | Ricardo Lieuw On | TEDxHaarlem,JsC9ZHi79jo,10442545,194064,8041,5040,0
Online Learning advantages and disadvantages,tcb9puhA3fo,198228,3425,212,159,0
100 HARDEST English words pronunciation practice lesson (with definitions) | Learn British English,AKydcBTm8xE,1406678,44957,815,2505,0
ONLINE EDUCATION  || Advantages and Disadvantages// Merits and Demerits,H7uiQcHzSqw,14661,251,30,41,0
Byjus learning kit,Cdk8auZcIls,7123472,88498,21891,12412,0
Learn The Alphabet With Blippi | ABC Letter Boxes,67JzSRnyXr4,165703667,266775,165535,0,0
"Life Science for Kids - Photosynthesis, Cells, Food Chains &amp; More",gugUKAzc4O8,337746,1450,205,9,0
"Baby's First Words - Food, Activities &amp; Animals | When will my toddler speak?",hACN6hbslMc,12237190,20412,14839,3,0
ABC Song + More Nursery Rhymes &amp; Kids Songs - CoComelon,71h8MZshGSs,758326892,2345548,1508212,3303,0
"Best Laptop For Programming | Top 5 Laptops for Coding | 30,000 To 70,000 Range | Latest 2020",L18LsF8DF1s,257076,7611,707,469,0
GTA V ONLINE N LEARNING VALORANT LIVE  || SURVIVORS GAMING,jaj19BTsGHs,20,5,0,0,0
FirstCry Shopping Haul 2021 | Educational and Learning Toys For Kids | Unboxing | Part1 |Joy Of Rims,9p_-VkxuZ7M,28016,290,46,79,0
How to learn kirtan 1st basic lesson  for beginners,1BVr9tWrpJU,26277,1056,13,91,0
